Station,Date,WeatherType
LAX,19440805,10
LAX,19440806,10
LAX,19440807,10
LAX,19440808,10
LAX,19440809,10
LAX,19440810,10
LAX,19440811,10
LAX,19440812,30
LAX,19440813,10
LAX,19440814,10
LAX,19440815,10
LAX,19440816,10
LAX,19440817,10
LAX,19440818,10
LAX,19440819,10
LAX,19440820,10
LAX,19440821,30
LAX,19440822,10
LAX,19440823,10
LAX,19440824,10
LAX,19440825,10
LAX,19440826,30
LAX,19440827,30
LAX,19440828,30
LAX,19440829,70
LAX,19440830,10
LAX,19440831,10
LAX,19440901,40
LAX,19440902,40
LAX,19440903,40
LAX,19440904,40
LAX,19440905,10
LAX,19440906,40
LAX,19440907,30
LAX,19440908,33
LAX,19440909,10
LAX,19440910,10
LAX,19440911,10
LAX,19440912,40
LAX,19440913,40
LAX,19440914,40
LAX,19440915,40
LAX,19440916,40
LAX,19440917,40
LAX,19440918,40
LAX,19440919,10
LAX,19440920,50
LAX,19440921,10
LAX,19440922,70
LAX,19440923,70
LAX,19440924,30
LAX,19440925,10
LAX,19440926,50
LAX,19440927,10
LAX,19440928,40
LAX,19440929,50
LAX,19440930,40
LAX,19441001,40
LAX,19441002,10
LAX,19441003,10
LAX,19441004,10
LAX,19441005,10
LAX,19441006,50
LAX,19441007,50
LAX,19441008,10
LAX,19441009,10
LAX,19441010,50
LAX,19441011,80
LAX,19441012,80
LAX,19441013,80
LAX,19441014,80
LAX,19441015,80
LAX,19441016,80
LAX,19441017,80
LAX,19441018,80
LAX,19441019,80
LAX,19441020,80
LAX,19441021,80
LAX,19441022,80
LAX,19441023,80
LAX,19441024,80
LAX,19441025,80
LAX,19441026,80
LAX,19441027,80
LAX,19441028,80
LAX,19441029,80
LAX,19441030,80
LAX,19441031,80
LAX,19441101,80
LAX,19441102,80
LAX,19441103,80
LAX,19441104,80
LAX,19441105,80
LAX,19441106,80
LAX,19441107,80
LAX,19441108,80
LAX,19441109,80
LAX,19441110,80
LAX,19441111,80
LAX,19441112,80
LAX,19441113,80
LAX,19441114,80
LAX,19441115,80
LAX,19441116,80
LAX,19441117,80
LAX,19441118,80
LAX,19441119,80
LAX,19441120,80
LAX,19441121,80
LAX,19441122,80
LAX,19441123,80
LAX,19441124,80
LAX,19441125,80
LAX,19441126,80
LAX,19441127,80
LAX,19441128,80
LAX,19441129,80
LAX,19441130,80
LAX,19441201,80
LAX,19441202,80
LAX,19441203,80
LAX,19441204,80
LAX,19441205,80
LAX,19441206,80
LAX,19441207,80
LAX,19441208,80
LAX,19441209,80
LAX,19441210,80
LAX,19441211,80
LAX,19441212,80
LAX,19441213,80
LAX,19441214,80
LAX,19441215,80
LAX,19441216,80
LAX,19441217,80
LAX,19441218,80
LAX,19441219,80
LAX,19441220,80
LAX,19441221,80
LAX,19441222,80
LAX,19441223,80
LAX,19441224,80
LAX,19441225,80
LAX,19441226,80
LAX,19441227,80
LAX,19441228,80
LAX,19441229,80
LAX,19441230,80
LAX,19441231,80
LAX,19450101,80
LAX,19450102,80
LAX,19450103,80
LAX,19450104,80
LAX,19450105,80
LAX,19450106,80
LAX,19450107,80
LAX,19450108,80
LAX,19450109,80
LAX,19450110,80
LAX,19450111,80
LAX,19450112,80
LAX,19450113,80
LAX,19450114,80
LAX,19450115,80
LAX,19450116,80
LAX,19450117,80
LAX,19450118,80
LAX,19450119,80
LAX,19450120,80
LAX,19450121,80
LAX,19450122,80
LAX,19450123,80
LAX,19450124,80
LAX,19450125,80
LAX,19450126,80
LAX,19450127,80
LAX,19450128,80
LAX,19450129,80
LAX,19450130,80
LAX,19450131,80
LAX,19450201,80
LAX,19450202,80
LAX,19450203,80
LAX,19450204,80
LAX,19450205,80
LAX,19450206,80
LAX,19450207,80
LAX,19450208,80
LAX,19450209,80
LAX,19450210,80
LAX,19450211,80
LAX,19450212,80
LAX,19450213,80
LAX,19450214,80
LAX,19450215,80
LAX,19450216,80
LAX,19450217,80
LAX,19450218,80
LAX,19450219,80
LAX,19450220,80
LAX,19450221,80
LAX,19450222,80
LAX,19450223,80
LAX,19450224,80
LAX,19450225,80
LAX,19450226,80
LAX,19450227,80
LAX,19450228,80
LAX,19450301,80
LAX,19450302,80
LAX,19450303,80
LAX,19450304,80
LAX,19450305,80
LAX,19450306,80
LAX,19450307,80
LAX,19450308,80
LAX,19450309,80
LAX,19450310,80
LAX,19450311,80
LAX,19450312,80
LAX,19450313,80
LAX,19450314,80
LAX,19450315,80
LAX,19450316,80
LAX,19450317,80
LAX,19450318,80
LAX,19450319,80
LAX,19450320,80
LAX,19450321,80
LAX,19450322,80
LAX,19450323,80
LAX,19450324,80
LAX,19450325,80
LAX,19450326,80
LAX,19450327,80
LAX,19450328,80
LAX,19450329,80
LAX,19450330,80
LAX,19450331,80
LAX,19450401,80
LAX,19450402,80
LAX,19450403,80
LAX,19450404,80
LAX,19450405,80
LAX,19450406,80
LAX,19450407,80
LAX,19450408,80
LAX,19450409,80
LAX,19450410,80
LAX,19450411,80
LAX,19450412,80
LAX,19450413,80
LAX,19450414,80
LAX,19450415,80
LAX,19450416,80
LAX,19450417,80
LAX,19450418,80
LAX,19450419,80
LAX,19450420,80
LAX,19450421,80
LAX,19450422,80
LAX,19450423,80
LAX,19450424,80
LAX,19450425,80
LAX,19450426,80
LAX,19450427,80
LAX,19450428,80
LAX,19450429,80
LAX,19450430,80
LAX,19450501,80
LAX,19450502,80
LAX,19450503,80
LAX,19450504,80
LAX,19450505,80
LAX,19450506,80
LAX,19450507,80
LAX,19450508,80
LAX,19450509,80
LAX,19450510,80
LAX,19450511,80
LAX,19450512,80
LAX,19450513,80
LAX,19450514,80
LAX,19450515,80
LAX,19450516,80
LAX,19450517,80
LAX,19450518,80
LAX,19450519,80
LAX,19450520,80
LAX,19450521,80
LAX,19450522,80
LAX,19450523,80
LAX,19450524,80
LAX,19450525,80
LAX,19450526,80
LAX,19450527,80
LAX,19450528,80
LAX,19450529,80
LAX,19450530,80
LAX,19450531,80
LAX,19450601,80
LAX,19450602,80
LAX,19450603,80
LAX,19450604,80
LAX,19450605,80
LAX,19450606,80
LAX,19450607,80
LAX,19450608,80
LAX,19450609,80
LAX,19450610,80
LAX,19450611,80
LAX,19450612,80
LAX,19450613,80
LAX,19450614,80
LAX,19450615,80
LAX,19450616,80
LAX,19450617,80
LAX,19450618,80
LAX,19450619,80
LAX,19450620,80
LAX,19450621,80
LAX,19450622,80
LAX,19450623,80
LAX,19450624,80
LAX,19450625,80
LAX,19450626,80
LAX,19450627,80
LAX,19450628,80
LAX,19450629,80
LAX,19450630,80
LAX,19450701,80
LAX,19450702,80
LAX,19450703,80
LAX,19450704,80
LAX,19450705,80
LAX,19450706,80
LAX,19450707,80
LAX,19450708,80
LAX,19450709,80
LAX,19450710,80
LAX,19450711,80
LAX,19450712,80
LAX,19450713,80
LAX,19450714,80
LAX,19450715,80
LAX,19450716,80
LAX,19450717,80
LAX,19450718,80
LAX,19450719,80
LAX,19450720,80
LAX,19450721,80
LAX,19450722,80
LAX,19450723,80
LAX,19450724,80
LAX,19450725,80
LAX,19450726,80
LAX,19450727,80
LAX,19450728,80
LAX,19450729,80
LAX,19450730,80
LAX,19450731,80
LAX,19450801,80
LAX,19450802,80
LAX,19450803,80
LAX,19450804,80
LAX,19450805,80
LAX,19450806,80
LAX,19450807,80
LAX,19450808,80
LAX,19450809,80
LAX,19450810,80
LAX,19450811,80
LAX,19450812,80
LAX,19450813,80
LAX,19450814,80
LAX,19450815,80
LAX,19450816,80
LAX,19450817,80
LAX,19450818,80
LAX,19450819,80
LAX,19450820,80
LAX,19450821,80
LAX,19450822,80
LAX,19450823,80
LAX,19450824,80
LAX,19450825,80
LAX,19450826,80
LAX,19450827,80
LAX,19450828,80
LAX,19450829,80
LAX,19450830,80
LAX,19450831,80
LAX,19450901,80
LAX,19450902,80
LAX,19450903,80
LAX,19450904,80
LAX,19450905,80
LAX,19450906,80
LAX,19450907,80
LAX,19450908,80
LAX,19450909,80
LAX,19450910,80
LAX,19450911,80
LAX,19450912,80
LAX,19450913,80
LAX,19450914,80
LAX,19450915,80
LAX,19450916,80
LAX,19450917,80
LAX,19450918,80
LAX,19450919,80
LAX,19450920,80
LAX,19450921,80
LAX,19450922,80
LAX,19450923,80
LAX,19450924,80
LAX,19450925,80
LAX,19450926,80
LAX,19450927,80
LAX,19450928,80
LAX,19450929,80
LAX,19450930,80
LAX,19451001,80
LAX,19451002,80
LAX,19451003,80
LAX,19451004,80
LAX,19451005,80
LAX,19451006,80
LAX,19451007,80
LAX,19451008,80
LAX,19451009,80
LAX,19451010,80
LAX,19451011,80
LAX,19451012,80
LAX,19451013,80
LAX,19451014,80
LAX,19451015,80
LAX,19451016,80
LAX,19451017,80
LAX,19451018,80
LAX,19451019,80
LAX,19451020,80
LAX,19451021,80
LAX,19451022,80
LAX,19451023,80
LAX,19451024,80
LAX,19451025,80
LAX,19451026,80
LAX,19451027,80
LAX,19451028,80
LAX,19451029,80
LAX,19451030,80
LAX,19451031,80
LAX,19451101,80
LAX,19451102,80
LAX,19451103,80
LAX,19451104,80
LAX,19451105,80
LAX,19451106,80
LAX,19451107,80
LAX,19451108,80
LAX,19451109,80
LAX,19451110,80
LAX,19451111,80
LAX,19451112,80
LAX,19451113,80
LAX,19451114,80
LAX,19451115,80
LAX,19451116,80
LAX,19451117,80
LAX,19451118,80
LAX,19451119,80
LAX,19451120,80
LAX,19451121,80
LAX,19451122,80
LAX,19451123,80
LAX,19451124,80
LAX,19451125,80
LAX,19451126,80
LAX,19451127,80
LAX,19451128,80
LAX,19451129,80
LAX,19451130,80
LAX,19451201,80
LAX,19451202,80
LAX,19451203,80
LAX,19451204,80
LAX,19451205,80
LAX,19451206,80
LAX,19451207,80
LAX,19451208,80
LAX,19451209,80
LAX,19451210,80
LAX,19451211,80
LAX,19451212,80
LAX,19451213,80
LAX,19451214,80
LAX,19451215,80
LAX,19451216,80
LAX,19451217,80
LAX,19451218,80
LAX,19451219,80
LAX,19451220,80
LAX,19451221,80
LAX,19451222,80
LAX,19451223,80
LAX,19451224,80
LAX,19451225,80
LAX,19451226,80
LAX,19451227,80
LAX,19451228,80
LAX,19451229,80
LAX,19451230,80
LAX,19451231,80
LAX,19460101,80
LAX,19460102,80
LAX,19460103,80
LAX,19460104,80
LAX,19460105,80
LAX,19460106,80
LAX,19460107,80
LAX,19460108,80
LAX,19460109,80
LAX,19460110,80
LAX,19460111,80
LAX,19460112,80
LAX,19460113,80
LAX,19460114,80
LAX,19460115,80
LAX,19460116,80
LAX,19460117,80
LAX,19460118,80
LAX,19460119,80
LAX,19460120,80
LAX,19460121,80
LAX,19460122,80
LAX,19460123,80
LAX,19460124,80
LAX,19460125,80
LAX,19460126,80
LAX,19460127,80
LAX,19460128,80
LAX,19460129,80
LAX,19460130,80
LAX,19460131,80
LAX,19460201,80
LAX,19460202,80
LAX,19460203,80
LAX,19460204,80
LAX,19460205,80
LAX,19460206,80
LAX,19460207,80
LAX,19460208,80
LAX,19460209,80
LAX,19460210,80
LAX,19460211,80
LAX,19460212,80
LAX,19460213,80
LAX,19460214,80
LAX,19460215,80
LAX,19460216,80
LAX,19460217,80
LAX,19460218,80
LAX,19460219,80
LAX,19460220,80
LAX,19460221,80
LAX,19460222,80
LAX,19460223,80
LAX,19460224,80
LAX,19460225,80
LAX,19460226,80
LAX,19460227,80
LAX,19460228,80
LAX,19460301,80
LAX,19460302,80
LAX,19460303,80
LAX,19460304,80
LAX,19460305,80
LAX,19460306,80
LAX,19460307,80
LAX,19460308,80
LAX,19460309,80
LAX,19460310,80
LAX,19460311,80
LAX,19460312,80
LAX,19460313,80
LAX,19460314,80
LAX,19460315,80
LAX,19460316,80
LAX,19460317,80
LAX,19460318,80
LAX,19460319,80
LAX,19460320,80
LAX,19460321,80
LAX,19460322,80
LAX,19460323,80
LAX,19460324,80
LAX,19460325,80
LAX,19460326,80
LAX,19460327,80
LAX,19460328,80
LAX,19460329,80
LAX,19460330,80
LAX,19460331,80
LAX,19460401,80
LAX,19460402,80
LAX,19460403,80
LAX,19460404,80
LAX,19460405,80
LAX,19460406,80
LAX,19460407,80
LAX,19460408,80
LAX,19460409,80
LAX,19460410,80
LAX,19460411,80
LAX,19460412,80
LAX,19460413,80
LAX,19460414,80
LAX,19460415,80
LAX,19460416,80
LAX,19460417,80
LAX,19460418,80
LAX,19460419,80
LAX,19460420,80
LAX,19460421,80
LAX,19460422,80
LAX,19460423,80
LAX,19460424,80
LAX,19460425,80
LAX,19460426,80
LAX,19460427,80
LAX,19460428,80
LAX,19460429,80
LAX,19460430,80
LAX,19460501,80
LAX,19460502,80
LAX,19460503,80
LAX,19460504,80
LAX,19460505,80
LAX,19460506,80
LAX,19460507,80
LAX,19460508,80
LAX,19460509,80
LAX,19460510,80
LAX,19460511,80
LAX,19460512,80
LAX,19460513,80
LAX,19460514,80
LAX,19460515,80
LAX,19460516,80
LAX,19460517,80
LAX,19460518,80
LAX,19460519,80
LAX,19460520,80
LAX,19460521,80
LAX,19460522,80
LAX,19460523,80
LAX,19460524,80
LAX,19460525,80
LAX,19460526,80
LAX,19460527,80
LAX,19460528,80
LAX,19460529,80
LAX,19460530,80
LAX,19460531,80
LAX,19460601,80
LAX,19460602,80
LAX,19460603,80
LAX,19460604,80
LAX,19460605,80
LAX,19460606,80
LAX,19460607,80
LAX,19460608,80
LAX,19460609,80
LAX,19460610,80
LAX,19460611,80
LAX,19460612,80
LAX,19460613,80
LAX,19460614,80
LAX,19460615,80
LAX,19460616,80
LAX,19460617,80
LAX,19460618,80
LAX,19460619,80
LAX,19460620,80
LAX,19460621,80
LAX,19460622,80
LAX,19460623,80
LAX,19460624,80
LAX,19460625,80
LAX,19460626,80
LAX,19460627,80
LAX,19460628,80
LAX,19460629,80
LAX,19460630,80
LAX,19460701,80
LAX,19460702,80
LAX,19460703,80
LAX,19460704,80
LAX,19460705,80
LAX,19460706,80
LAX,19460707,80
LAX,19460708,80
LAX,19460709,80
LAX,19460710,80
LAX,19460711,80
LAX,19460712,80
LAX,19460713,80
LAX,19460714,80
LAX,19460715,80
LAX,19460716,80
LAX,19460717,80
LAX,19460718,80
LAX,19460719,80
LAX,19460720,80
LAX,19460721,80
LAX,19460722,80
LAX,19460723,80
LAX,19460724,80
LAX,19460725,80
LAX,19460726,80
LAX,19460727,80
LAX,19460728,80
LAX,19460729,80
LAX,19460730,80
LAX,19460731,80
LAX,19460801,80
LAX,19460802,80
LAX,19460803,80
LAX,19460804,80
LAX,19460805,80
LAX,19460806,80
LAX,19460807,80
LAX,19460808,80
LAX,19460809,80
LAX,19460810,80
LAX,19460811,80
LAX,19460812,80
LAX,19460813,80
LAX,19460814,80
LAX,19460815,80
LAX,19460816,80
LAX,19460817,80
LAX,19460818,80
LAX,19460819,80
LAX,19460820,80
LAX,19460821,80
LAX,19460822,80
LAX,19460823,80
LAX,19460824,80
LAX,19460825,80
LAX,19460826,80
LAX,19460827,80
LAX,19460828,80
LAX,19460829,80
LAX,19460830,80
LAX,19460831,80
LAX,19460901,80
LAX,19460902,80
LAX,19460903,80
LAX,19460904,80
LAX,19460905,80
LAX,19460906,80
LAX,19460907,80
LAX,19460908,80
LAX,19460909,80
LAX,19460910,80
LAX,19460911,80
LAX,19460912,80
LAX,19460913,80
LAX,19460914,80
LAX,19460915,80
LAX,19460916,80
LAX,19460917,80
LAX,19460918,80
LAX,19460919,80
LAX,19460920,80
LAX,19460921,80
LAX,19460922,80
LAX,19460923,80
LAX,19460924,80
LAX,19460925,80
LAX,19460926,80
LAX,19460927,80
LAX,19460928,80
LAX,19460929,80
LAX,19460930,80
LAX,19461001,80
LAX,19461002,80
LAX,19461003,80
LAX,19461004,80
LAX,19461005,80
LAX,19461006,80
LAX,19461007,80
LAX,19461008,80
LAX,19461009,80
LAX,19461010,80
LAX,19461011,80
LAX,19461012,80
LAX,19461013,80
LAX,19461014,80
LAX,19461015,80
LAX,19461016,80
LAX,19461017,80
LAX,19461018,80
LAX,19461019,80
LAX,19461020,80
LAX,19461021,80
LAX,19461022,80
LAX,19461023,80
LAX,19461024,80
LAX,19461025,80
LAX,19461026,80
LAX,19461027,80
LAX,19461028,80
LAX,19461029,80
LAX,19461030,80
LAX,19461031,80
LAX,19461101,80
LAX,19461102,80
LAX,19461103,80
LAX,19461104,80
LAX,19461105,80
LAX,19461106,80
LAX,19461107,80
LAX,19461108,80
LAX,19461109,80
LAX,19461110,80
LAX,19461111,80
LAX,19461112,80
LAX,19461113,80
LAX,19461114,80
LAX,19461115,80
LAX,19461116,80
LAX,19461117,80
LAX,19461118,80
LAX,19461119,80
LAX,19461120,80
LAX,19461121,80
LAX,19461122,80
LAX,19461123,80
LAX,19461124,80
LAX,19461125,80
LAX,19461126,80
LAX,19461127,80
LAX,19461128,80
LAX,19461129,80
LAX,19461130,80
LAX,19461201,80
LAX,19461202,80
LAX,19461203,80
LAX,19461204,80
LAX,19461205,80
LAX,19461206,80
LAX,19461207,80
LAX,19461208,80
LAX,19461209,80
LAX,19461210,80
LAX,19461211,80
LAX,19461212,80
LAX,19461213,80
LAX,19461214,80
LAX,19461215,80
LAX,19461216,80
LAX,19461217,80
LAX,19461218,80
LAX,19461219,80
LAX,19461220,80
LAX,19461221,80
LAX,19461222,80
LAX,19461223,80
LAX,19461224,80
LAX,19461225,80
LAX,19461226,80
LAX,19461227,80
LAX,19461228,80
LAX,19461229,80
LAX,19461230,80
LAX,19461231,80
LAX,19470101,80
LAX,19470102,70
LAX,19470103,20
LAX,19470104,20
LAX,19470105,10
LAX,19470106,50
LAX,19470107,10
LAX,19470108,10
LAX,19470109,30
LAX,19470110,30
LAX,19470111,10
LAX,19470112,40
LAX,19470113,50
LAX,19470114,10
LAX,19470115,70
LAX,19470116,70
LAX,19470117,20
LAX,19470118,10
LAX,19470119,10
LAX,19470120,10
LAX,19470121,10
LAX,19470122,10
LAX,19470123,10
LAX,19470124,50
LAX,19470125,20
LAX,19470126,10
LAX,19470127,50
LAX,19470128,50
LAX,19470129,20
LAX,19470130,10
LAX,19470131,10
LAX,19470201,30
LAX,19470202,30
LAX,19470203,10
LAX,19470204,30
LAX,19470205,10
LAX,19470206,10
LAX,19470207,50
LAX,19470208,40
LAX,19470209,40
LAX,19470210,10
LAX,19470211,10
LAX,19470212,10
LAX,19470213,10
LAX,19470214,10
LAX,19470215,10
LAX,19470216,40
LAX,19470217,10
LAX,19470218,10
LAX,19470219,10
LAX,19470220,40
LAX,19470221,10
LAX,19470222,40
LAX,19470223,10
LAX,19470224,10
LAX,19470225,40
LAX,19470226,40
LAX,19470227,40
LAX,19470228,10
LAX,19470301,10
LAX,19470302,40
LAX,19470303,10
LAX,19470304,10
LAX,19470305,10
LAX,19470306,10
LAX,19470307,10
LAX,19470308,10
LAX,19470309,10
LAX,19470310,10
LAX,19470311,10
LAX,19470312,30
LAX,19470313,70
LAX,19470314,30
LAX,19470315,40
LAX,19470316,40
LAX,19470317,10
LAX,19470318,40
LAX,19470319,40
LAX,19470320,40
LAX,19470321,40
LAX,19470322,40
LAX,19470323,40
LAX,19470324,10
LAX,19470325,30
LAX,19470326,10
LAX,19470327,60
LAX,19470328,40
LAX,19470329,60
LAX,19470330,40
LAX,19470331,10
LAX,19470401,10
LAX,19470402,10
LAX,19470403,70
LAX,19470404,71
LAX,19470405,10
LAX,19470406,10
LAX,19470407,20
LAX,19470408,50
LAX,19470409,10
LAX,19470410,10
LAX,19470411,30
LAX,19470412,70
LAX,19470413,31
LAX,19470414,30
LAX,19470415,60
LAX,19470416,40
LAX,19470417,40
LAX,19470418,40
LAX,19470419,40
LAX,19470420,40
LAX,19470421,40
LAX,19470422,10
LAX,19470423,10
LAX,19470424,40
LAX,19470425,40
LAX,19470426,40
LAX,19470427,40
LAX,19470428,10
LAX,19470429,40
LAX,19470430,10
LAX,19470501,10
LAX,19470502,10
LAX,19470503,10
LAX,19470504,40
LAX,19470505,40
LAX,19470506,40
LAX,19470507,10
LAX,19470508,10
LAX,19470509,70
LAX,19470510,10
LAX,19470511,70
LAX,19470512,10
LAX,19470513,50
LAX,19470514,40
LAX,19470515,40
LAX,19470516,10
LAX,19470517,40
LAX,19470518,40
LAX,19470519,40
LAX,19470520,40
LAX,19470521,40
LAX,19470522,40
LAX,19470523,40
LAX,19470524,40
LAX,19470525,40
LAX,19470526,40
LAX,19470527,40
LAX,19470528,10
LAX,19470529,10
LAX,19470530,40
LAX,19470531,10
LAX,19470601,10
LAX,19470602,40
LAX,19470603,10
LAX,19470604,10
LAX,19470605,10
LAX,19470606,40
LAX,19470607,40
LAX,19470608,40
LAX,19470609,10
LAX,19470610,10
LAX,19470611,10
LAX,19470612,10
LAX,19470613,40
LAX,19470614,40
LAX,19470615,40
LAX,19470616,40
LAX,19470617,40
LAX,19470618,40
LAX,19470619,40
LAX,19470620,70
LAX,19470621,10
LAX,19470622,10
LAX,19470623,10
LAX,19470624,40
LAX,19470625,40
LAX,19470626,40
LAX,19470627,40
LAX,19470628,40
LAX,19470629,10
LAX,19470630,10
LAX,19470701,10
LAX,19470702,10
LAX,19470703,70
LAX,19470704,10
LAX,19470705,20
LAX,19470706,50
LAX,19470707,50
LAX,19470708,10
LAX,19470709,70
LAX,19470710,10
LAX,19470711,70
LAX,19470712,10
LAX,19470713,40
LAX,19470714,10
LAX,19470715,40
LAX,19470716,40
LAX,19470717,10
LAX,19470718,10
LAX,19470719,40
LAX,19470720,40
LAX,19470721,10
LAX,19470722,40
LAX,19470723,10
LAX,19470724,10
LAX,19470725,10
LAX,19470726,30
LAX,19470727,30
LAX,19470728,30
LAX,19470729,30
LAX,19470730,70
LAX,19470731,70
LAX,19470801,70
LAX,19470802,70
LAX,19470803,10
LAX,19470804,10
LAX,19470805,40
LAX,19470806,40
LAX,19470807,60
LAX,19470808,60
LAX,19470809,60
LAX,19470810,60
LAX,19470811,10
LAX,19470812,10
LAX,19470813,10
LAX,19470814,10
LAX,19470815,10
LAX,19470816,10
LAX,19470817,40
LAX,19470818,40
LAX,19470819,70
LAX,19470820,10
LAX,19470821,10
LAX,19470822,10
LAX,19470823,10
LAX,19470824,40
LAX,19470825,10
LAX,19470826,10
LAX,19470827,10
LAX,19470828,10
LAX,19470829,71
LAX,19470830,70
LAX,19470831,30
LAX,19470901,60
LAX,19470902,10
LAX,19470903,10
LAX,19470904,10
LAX,19470905,50
LAX,19470906,40
LAX,19470907,40
LAX,19470908,10
LAX,19470909,40
LAX,19470910,10
LAX,19470911,40
LAX,19470912,40
LAX,19470913,40
LAX,19470914,40
LAX,19470915,10
LAX,19470916,40
LAX,19470917,40
LAX,19470918,10
LAX,19470919,10
LAX,19470920,10
LAX,19470921,40
LAX,19470922,10
LAX,19470923,10
LAX,19470924,10
LAX,19470925,10
LAX,19470926,10
LAX,19470927,10
LAX,19470928,50
LAX,19470929,40
LAX,19470930,10
LAX,19471001,10
LAX,19471002,10
LAX,19471003,40
LAX,19471004,40
LAX,19471005,40
LAX,19471006,10
LAX,19471007,10
LAX,19471008,10
LAX,19471009,10
LAX,19471010,40
LAX,19471011,71
LAX,19471012,10
LAX,19471013,70
LAX,19471014,10
LAX,19471015,10
LAX,19471016,10
LAX,19471017,40
LAX,19471018,40
LAX,19471019,10
LAX,19471020,40
LAX,19471021,40
LAX,19471022,10
LAX,19471023,10
LAX,19471024,10
LAX,19471025,10
LAX,19471026,20
LAX,19471027,50
LAX,19471028,40
