,Station,Date,WeatherType
27015,LAX,20171218,Dry Tropical
27026,LAX,20171229,Dry Tropical
27030,LAX,20180102,Moist Tropical
27031,LAX,20180103,Moist Tropical
27032,LAX,20180104,Moist Tropical
27033,LAX,20180105,Moist Tropical
27035,LAX,20180107,Moist Tropical
27036,LAX,20180108,Moist Tropical
27041,LAX,20180113,Dry Tropical+
27042,LAX,20180114,Dry Tropical++
27044,LAX,20180116,Moist Tropical
27045,LAX,20180117,Moist Tropical
27046,LAX,20180118,Moist Tropical
27051,LAX,20180123,Dry Tropical
27052,LAX,20180124,Dry Tropical
27055,LAX,20180127,Dry Tropical
27056,LAX,20180128,Dry Tropical+
27057,LAX,20180129,Dry Tropical++
27058,LAX,20180130,Moist Tropical++
27059,LAX,20180131,Moist Tropical
27060,LAX,20180201,Moist Tropical
27061,LAX,20180202,Moist Tropical
27062,LAX,20180203,Moist Tropical
27063,LAX,20180204,Moist Tropical
27064,LAX,20180205,Moist Tropical
27065,LAX,20180206,Moist Tropical
27066,LAX,20180207,Moist Tropical
27067,LAX,20180208,Dry Tropical
27068,LAX,20180209,Moist Tropical
27069,LAX,20180210,Moist Tropical
27070,LAX,20180211,Moist Tropical
27073,LAX,20180214,Moist Tropical
27074,LAX,20180215,Moist Tropical
27075,LAX,20180216,Dry Tropical
27076,LAX,20180217,Dry Tropical
27093,LAX,20180306,Dry Tropical
27098,LAX,20180311,Moist Tropical
27108,LAX,20180321,Moist Tropical
27113,LAX,20180326,Dry Tropical
27127,LAX,20180409,Dry Tropical
27128,LAX,20180410,Moist Tropical
27129,LAX,20180411,Moist Tropical
27132,LAX,20180414,Dry Tropical
27191,LAX,20180612,Moist Tropical
27194,LAX,20180615,Moist Tropical
27208,LAX,20180629,Moist Tropical
27209,LAX,20180630,Moist Tropical
27216,LAX,20180707,Dry Tropical++
27218,LAX,20180709,Moist Tropical++
27219,LAX,20180710,Moist Tropical
27220,LAX,20180711,Moist Tropical
27221,LAX,20180712,Moist Tropical
27222,LAX,20180713,Moist Tropical
27223,LAX,20180714,Moist Tropical
27224,LAX,20180715,Moist Tropical
27225,LAX,20180716,Moist Tropical
27227,LAX,20180718,Moist Tropical
27228,LAX,20180719,Moist Tropical
27229,LAX,20180720,Moist Tropical
27230,LAX,20180721,Moist Tropical
27231,LAX,20180722,Moist Tropical
27232,LAX,20180723,Moist Tropical+
27233,LAX,20180724,Moist Tropical
27234,LAX,20180725,Moist Tropical
27235,LAX,20180726,Moist Tropical
27237,LAX,20180728,Moist Tropical
27238,LAX,20180729,Moist Tropical
27239,LAX,20180730,Moist Tropical
27240,LAX,20180731,Moist Tropical
27241,LAX,20180801,Moist Tropical
27242,LAX,20180802,Moist Tropical
27243,LAX,20180803,Moist Tropical
27244,LAX,20180804,Moist Tropical
27245,LAX,20180805,Moist Tropical
27247,LAX,20180807,Moist Tropical
27249,LAX,20180809,Moist Tropical
27250,LAX,20180810,Moist Tropical+
27252,LAX,20180812,Moist Tropical
27253,LAX,20180813,Moist Tropical
27254,LAX,20180814,Moist Tropical
27255,LAX,20180815,Moist Tropical
27256,LAX,20180816,Moist Tropical
27257,LAX,20180817,Moist Tropical
27258,LAX,20180818,Moist Tropical
27259,LAX,20180819,Moist Tropical
27260,LAX,20180820,Moist Tropical
27261,LAX,20180821,Moist Tropical
27262,LAX,20180822,Moist Tropical
27263,LAX,20180823,Moist Tropical
27264,LAX,20180824,Moist Tropical
27265,LAX,20180825,Moist Tropical
27266,LAX,20180826,Moist Tropical
27272,LAX,20180901,Moist Tropical
27274,LAX,20180903,Moist Tropical
27281,LAX,20180910,Moist Tropical
27282,LAX,20180911,Moist Tropical
27283,LAX,20180912,Moist Tropical
27286,LAX,20180915,Moist Tropical
27302,LAX,20181001,Moist Tropical
27303,LAX,20181002,Moist Tropical
27304,LAX,20181003,Moist Tropical
27305,LAX,20181004,Moist Tropical
27306,LAX,20181005,Moist Tropical
27307,LAX,20181006,Moist Tropical
27308,LAX,20181007,Moist Tropical
27309,LAX,20181008,Moist Tropical
27310,LAX,20181009,Moist Tropical
27313,LAX,20181012,Moist Tropical
27320,LAX,20181019,Dry Tropical
27321,LAX,20181020,Dry Tropical
27333,LAX,20181101,Moist Tropical
27334,LAX,20181102,Moist Tropical
27335,LAX,20181103,Moist Tropical
27336,LAX,20181104,Moist Tropical
27337,LAX,20181105,Moist Tropical
27338,LAX,20181106,Moist Tropical
27339,LAX,20181107,Moist Tropical
27340,LAX,20181108,Moist Tropical
27341,LAX,20181109,Dry Tropical+
27343,LAX,20181111,Dry Tropical
27344,LAX,20181112,Dry Tropical
27345,LAX,20181113,Dry Tropical
27358,LAX,20181126,Dry Tropical
27366,LAX,20181204,Dry Tropical
27371,LAX,20181209,Moist Tropical
27375,LAX,20181213,Dry Tropical
27381,LAX,20181219,Moist Tropical
27382,LAX,20181220,Moist Tropical
27383,LAX,20181221,Moist Tropical
27387,LAX,20181225,Moist Tropical
27401,LAX,20190108,Moist Tropical
27412,LAX,20190119,Moist Tropical
27413,LAX,20190120,Moist Tropical
27417,LAX,20190124,Dry Tropical
27418,LAX,20190125,Dry Tropical
27419,LAX,20190126,Dry Tropical
27420,LAX,20190127,Moist Tropical
27421,LAX,20190128,Moist Tropical
27422,LAX,20190129,Moist Tropical
27464,LAX,20190312,Moist Tropical
27466,LAX,20190314,Dry Tropical
27467,LAX,20190315,Dry Tropical
27468,LAX,20190316,Dry Tropical
27469,LAX,20190317,Dry Tropical
27470,LAX,20190318,Moist Tropical
27479,LAX,20190327,Moist Tropical
27480,LAX,20190328,Moist Tropical
27482,LAX,20190330,Dry Tropical
27483,LAX,20190331,Dry Tropical
27484,LAX,20190401,Dry Tropical
27490,LAX,20190407,Moist Tropical
27491,LAX,20190408,Moist Tropical
27495,LAX,20190412,Moist Tropical
27525,LAX,20190512,Moist Tropical
27555,LAX,20190611,Moist Tropical
27574,LAX,20190630,Moist Tropical
27598,LAX,20190724,Moist Tropical
27599,LAX,20190725,Dry Tropical
27626,LAX,20190821,Moist Tropical
27627,LAX,20190822,Moist Tropical
27629,LAX,20190824,Moist Tropical
27630,LAX,20190825,Moist Tropical
27631,LAX,20190826,Moist Tropical
27632,LAX,20190827,Moist Tropical
27633,LAX,20190828,Moist Tropical
27634,LAX,20190829,Moist Tropical
27635,LAX,20190830,Moist Tropical
27636,LAX,20190831,Moist Tropical
27637,LAX,20190901,Moist Tropical
27638,LAX,20190902,Moist Tropical
27639,LAX,20190903,Moist Tropical
27640,LAX,20190904,Moist Tropical
27641,LAX,20190905,Moist Tropical
27642,LAX,20190906,Moist Tropical+
27645,LAX,20190909,Moist Tropical
27646,LAX,20190910,Moist Tropical
27647,LAX,20190911,Moist Tropical
27648,LAX,20190912,Moist Tropical
27649,LAX,20190913,Moist Tropical
27650,LAX,20190914,Moist Tropical
27651,LAX,20190915,Moist Tropical
27652,LAX,20190916,Moist Tropical
27653,LAX,20190917,Moist Tropical
27654,LAX,20190918,Moist Tropical
27655,LAX,20190919,Moist Tropical
27658,LAX,20190922,Moist Tropical
27659,LAX,20190923,Moist Tropical
27660,LAX,20190924,Moist Tropical
27661,LAX,20190925,Moist Tropical
27662,LAX,20190926,Moist Tropical
27663,LAX,20190927,Moist Tropical
27672,LAX,20191006,Moist Tropical
27673,LAX,20191007,Moist Tropical
27674,LAX,20191008,Moist Tropical
27676,LAX,20191010,Moist Tropical
27680,LAX,20191014,Moist Tropical
27682,LAX,20191016,Moist Tropical
27683,LAX,20191017,Moist Tropical
27686,LAX,20191020,Dry Tropical
27687,LAX,20191021,Dry Tropical++
27688,LAX,20191022,Dry Tropical+
27689,LAX,20191023,Dry Tropical+
27699,LAX,20191102,Dry Tropical
27702,LAX,20191105,Moist Tropical
27704,LAX,20191107,Moist Tropical
27705,LAX,20191108,Moist Tropical
27706,LAX,20191109,Moist Tropical+
27707,LAX,20191110,Moist Tropical
27712,LAX,20191115,Moist Tropical
27713,LAX,20191116,Moist Tropical
27714,LAX,20191117,Dry Tropical+
27720,LAX,20191123,Dry Tropical
27721,LAX,20191124,Dry Tropical
27729,LAX,20191202,Moist Tropical
27730,LAX,20191203,Moist Tropical
27732,LAX,20191205,Moist Tropical
27734,LAX,20191207,Moist Tropical
27735,LAX,20191208,Moist Tropical
27736,LAX,20191209,Moist Tropical
27739,LAX,20191212,Moist Tropical
27740,LAX,20191213,Moist Tropical
27741,LAX,20191214,Moist Tropical
27743,LAX,20191216,Dry Tropical
27744,LAX,20191217,Dry Tropical
27745,LAX,20191218,Dry Tropical
27747,LAX,20191220,Dry Tropical
27748,LAX,20191221,Dry Tropical+
27758,LAX,20191231,Moist Tropical
27761,LAX,20200103,Moist Tropical
27764,LAX,20200106,Dry Tropical
27776,LAX,20200118,Dry Tropical
27777,LAX,20200119,Dry Tropical
27781,LAX,20200123,Moist Tropical
27782,LAX,20200124,Moist Tropical
27785,LAX,20200127,Moist Tropical
27786,LAX,20200128,Moist Tropical+
27787,LAX,20200129,Dry Tropical++
27788,LAX,20200130,Dry Tropical
27789,LAX,20200131,Dry Tropical
27790,LAX,20200201,Dry Tropical
27791,LAX,20200202,Moist Tropical
27792,LAX,20200203,Dry Tropical
27799,LAX,20200210,Dry Tropical+
27800,LAX,20200211,Dry Tropical
27805,LAX,20200216,Moist Tropical
27807,LAX,20200218,Moist Tropical
27808,LAX,20200219,Moist Tropical
27809,LAX,20200220,Moist Tropical
27810,LAX,20200221,Moist Tropical
27811,LAX,20200222,Moist Tropical
27812,LAX,20200223,Moist Tropical
27814,LAX,20200225,Dry Tropical
27815,LAX,20200226,Dry Tropical+
27816,LAX,20200227,Dry Tropical++
27817,LAX,20200228,Dry Tropical++
27818,LAX,20200229,Moist Tropical
27820,LAX,20200302,Dry Tropical
27822,LAX,20200304,Moist Tropical
27823,LAX,20200305,Moist Tropical
27827,LAX,20200309,Dry Tropical
27828,LAX,20200310,Moist Tropical
27839,LAX,20200321,Moist Tropical
27841,LAX,20200323,Moist Tropical
27849,LAX,20200331,Moist Tropical
27851,LAX,20200402,Moist Tropical
27871,LAX,20200422,Moist Tropical
27872,LAX,20200423,Moist Tropical
27873,LAX,20200424,Moist Tropical+
27874,LAX,20200425,Moist Tropical
27875,LAX,20200426,Moist Tropical
27876,LAX,20200427,Moist Tropical
27877,LAX,20200428,Moist Tropical
27879,LAX,20200430,Moist Tropical
27880,LAX,20200501,Moist Tropical
27881,LAX,20200502,Moist Tropical
27882,LAX,20200503,Moist Tropical
27884,LAX,20200505,Dry Tropical
27885,LAX,20200506,Dry Tropical+
27886,LAX,20200507,Dry Tropical
27887,LAX,20200508,Moist Tropical
27888,LAX,20200509,Moist Tropical
27889,LAX,20200510,Moist Tropical
27894,LAX,20200515,Moist Tropical
27896,LAX,20200517,Moist Tropical
27921,LAX,20200611,Moist Tropical
27952,LAX,20200712,Moist Tropical
27953,LAX,20200713,Moist Tropical
27985,LAX,20200814,Moist Tropical
27988,LAX,20200817,Moist Tropical
27989,LAX,20200818,Moist Tropical
27990,LAX,20200819,Moist Tropical+
27991,LAX,20200820,Moist Tropical
27992,LAX,20200821,Moist Tropical
27993,LAX,20200822,Moist Tropical
27994,LAX,20200823,Moist Tropical
28007,LAX,20200905,Dry Tropical
28009,LAX,20200907,Moist Tropical
28010,LAX,20200908,Moist Tropical
28033,LAX,20201001,Moist Tropical+
28034,LAX,20201002,Moist Tropical+
28035,LAX,20201003,Moist Tropical
28036,LAX,20201004,Moist Tropical
28037,LAX,20201005,Moist Tropical
28038,LAX,20201006,Moist Tropical
28039,LAX,20201007,Moist Tropical
28040,LAX,20201008,Moist Tropical
28041,LAX,20201009,Moist Tropical
28042,LAX,20201010,Moist Tropical
28043,LAX,20201011,Moist Tropical
28044,LAX,20201012,Moist Tropical
28045,LAX,20201013,Moist Tropical
28046,LAX,20201014,Moist Tropical
28047,LAX,20201015,Moist Tropical
28048,LAX,20201016,Moist Tropical
28049,LAX,20201017,Moist Tropical
28050,LAX,20201018,Moist Tropical
28059,LAX,20201027,Dry Tropical
28064,LAX,20201101,Moist Tropical
28078,LAX,20201115,Dry Tropical
28079,LAX,20201116,Dry Tropical+
28091,LAX,20201128,Dry Tropical
28092,LAX,20201129,Dry Tropical
28095,LAX,20201202,Dry Tropical
28096,LAX,20201203,Dry Tropical
28100,LAX,20201207,Dry Tropical
28101,LAX,20201208,Dry Tropical++
28113,LAX,20201220,Dry Tropical
28114,LAX,20201221,Dry Tropical
28118,LAX,20201225,Dry Tropical
28133,LAX,20210109,Dry Tropical
28134,LAX,20210110,Dry Tropical
28135,LAX,20210111,Dry Tropical
28138,LAX,20210114,Dry Tropical
28139,LAX,20210115,Dry Tropical+
28140,LAX,20210116,Dry Tropical+
28141,LAX,20210117,Dry Tropical+
28143,LAX,20210119,Moist Tropical
28144,LAX,20210120,Dry Tropical+
28145,LAX,20210121,Moist Tropical
28156,LAX,20210201,Moist Tropical
28169,LAX,20210214,Moist Tropical
28171,LAX,20210216,Moist Tropical
28173,LAX,20210218,Dry Tropical
28176,LAX,20210221,Dry Tropical
28178,LAX,20210223,Moist Tropical
28180,LAX,20210225,Dry Tropical
28211,LAX,20210328,Dry Tropical
28214,LAX,20210331,Dry Tropical
28244,LAX,20210430,Moist Tropical
28269,LAX,20210525,Moist Tropical
28290,LAX,20210615,Moist Tropical
28291,LAX,20210616,Moist Tropical
28292,LAX,20210617,Moist Tropical
28303,LAX,20210628,Moist Tropical
28327,LAX,20210722,Moist Tropical
28352,LAX,20210816,Moist Tropical
28353,LAX,20210817,Moist Tropical
28373,LAX,20210906,Moist Tropical
28374,LAX,20210907,Moist Tropical
28378,LAX,20210911,Moist Tropical
28397,LAX,20210930,Dry Tropical
28398,LAX,20211001,Moist Tropical
28400,LAX,20211003,Moist Tropical
28401,LAX,20211004,Moist Tropical
28402,LAX,20211005,Moist Tropical
28412,LAX,20211015,Dry Tropical
28425,LAX,20211028,Dry Tropical
28439,LAX,20211111,Dry Tropical
28440,LAX,20211112,Dry Tropical+
28441,LAX,20211113,Dry Tropical++
28442,LAX,20211114,Dry Tropical
28449,LAX,20211121,Dry Tropical
28450,LAX,20211122,Dry Tropical++
28453,LAX,20211125,Dry Tropical+
28455,LAX,20211127,Dry Tropical
28498,LAX,20220109,Dry Tropical
28499,LAX,20220110,Dry Tropical+
28500,LAX,20220111,Dry Tropical+
28501,LAX,20220112,Dry Tropical+
28502,LAX,20220113,Moist Tropical
28503,LAX,20220114,Moist Tropical
28504,LAX,20220115,Moist Tropical
28505,LAX,20220116,Moist Tropical
28506,LAX,20220117,Moist Tropical
28509,LAX,20220120,Dry Tropical
28511,LAX,20220122,Dry Tropical+
28512,LAX,20220123,Dry Tropical
28515,LAX,20220126,Dry Tropical
28517,LAX,20220128,Dry Tropical
28518,LAX,20220129,Dry Tropical
28523,LAX,20220203,Dry Tropical
28524,LAX,20220204,Dry Tropical
28526,LAX,20220206,Dry Tropical
28527,LAX,20220207,Dry Tropical
28528,LAX,20220208,Dry Tropical
28529,LAX,20220209,Dry Tropical+
28530,LAX,20220210,Dry Tropical++
28531,LAX,20220211,Dry Tropical
28532,LAX,20220212,Dry Tropical+
28533,LAX,20220213,Dry Tropical++
28534,LAX,20220214,Moist Tropical
28537,LAX,20220217,Dry Tropical
28548,LAX,20220228,Dry Tropical
28549,LAX,20220301,Dry Tropical
28550,LAX,20220302,Dry Tropical
28559,LAX,20220311,Dry Tropical
28562,LAX,20220314,Moist Tropical
28563,LAX,20220315,Moist Tropical
28564,LAX,20220316,Moist Tropical
28565,LAX,20220317,Dry Tropical
28566,LAX,20220318,Moist Tropical
28568,LAX,20220320,Moist Tropical
28569,LAX,20220321,Moist Tropical
28570,LAX,20220322,Dry Tropical
28571,LAX,20220323,Dry Tropical+
28572,LAX,20220324,Moist Tropical
28575,LAX,20220327,Moist Tropical
28585,LAX,20220406,Moist Tropical
28588,LAX,20220409,Moist Tropical
28589,LAX,20220410,Moist Tropical
28603,LAX,20220424,Dry Tropical
28604,LAX,20220425,Dry Tropical
28605,LAX,20220426,Moist Tropical
28623,LAX,20220514,Dry Tropical
28624,LAX,20220515,Moist Tropical
28646,LAX,20220606,Moist Tropical
28653,LAX,20220613,Moist Tropical
28655,LAX,20220615,Moist Tropical
28661,LAX,20220621,Moist Tropical
28669,LAX,20220629,Moist Tropical
28670,LAX,20220630,Moist Tropical
28688,LAX,20220718,Moist Tropical
28693,LAX,20220723,Moist Tropical
28701,LAX,20220731,Moist Tropical
28709,LAX,20220808,Moist Tropical
28710,LAX,20220809,Dry Tropical
28711,LAX,20220810,Moist Tropical
28712,LAX,20220811,Moist Tropical
28713,LAX,20220812,Moist Tropical
28717,LAX,20220816,Moist Tropical
28721,LAX,20220820,Moist Tropical
28722,LAX,20220821,Moist Tropical
28725,LAX,20220824,Moist Tropical
28726,LAX,20220825,Moist Tropical
28728,LAX,20220827,Moist Tropical
28733,LAX,20220901,Moist Tropical+
28734,LAX,20220902,Moist Tropical
28735,LAX,20220903,Dry Tropical
28737,LAX,20220905,Moist Tropical+
28738,LAX,20220906,Moist Tropical
28739,LAX,20220907,Moist Tropical
28742,LAX,20220910,Moist Tropical
28743,LAX,20220911,Moist Tropical+
28744,LAX,20220912,Moist Tropical
28745,LAX,20220913,Moist Tropical
28746,LAX,20220914,Moist Tropical
28747,LAX,20220915,Moist Tropical
28748,LAX,20220916,Moist Tropical
28749,LAX,20220917,Moist Tropical
28752,LAX,20220920,Moist Tropical
28755,LAX,20220923,Moist Tropical
28756,LAX,20220924,Moist Tropical
28757,LAX,20220925,Moist Tropical
28758,LAX,20220926,Moist Tropical
28759,LAX,20220927,Moist Tropical
28760,LAX,20220928,Moist Tropical
28763,LAX,20221001,Moist Tropical
28764,LAX,20221002,Moist Tropical
28765,LAX,20221003,Moist Tropical
28766,LAX,20221004,Moist Tropical
28767,LAX,20221005,Moist Tropical
28768,LAX,20221006,Moist Tropical
28769,LAX,20221007,Moist Tropical
28770,LAX,20221008,Moist Tropical
28772,LAX,20221010,Moist Tropical
28773,LAX,20221011,Moist Tropical
28774,LAX,20221012,Moist Tropical
28779,LAX,20221017,Moist Tropical
28780,LAX,20221018,Moist Tropical
28781,LAX,20221019,Dry Tropical+
28782,LAX,20221020,Moist Tropical+
28783,LAX,20221021,Moist Tropical
28809,LAX,20221116,Dry Tropical
28812,LAX,20221119,Dry Tropical
28813,LAX,20221120,Dry Tropical
28814,LAX,20221121,Dry Tropical
28815,LAX,20221122,Dry Tropical
28818,LAX,20221125,Dry Tropical
28826,LAX,20221203,Moist Tropical
28848,LAX,20221225,Dry Tropical
28849,LAX,20221226,Moist Tropical
28866,LAX,20230112,Dry Tropical
28891,LAX,20230206,Dry Tropical
